<TICKER>,<PER>,<DATE>,<TIME>,<VOL>
SiH0 [SPBFUT],10,20191018,181000,7112.000000
SiH0 [SPBFUT],10,20191018,182000,6302.000000
SiH0 [SPBFUT],10,20191018,183000,10027.000000
SiH0 [SPBFUT],10,20191018,184000,4691.000000
SiH0 [SPBFUT],10,20191018,190000,29990.000000
SiH0 [SPBFUT],10,20191018,191000,118208.000000
SiH0 [SPBFUT],10,20191018,192000,30189.000000
SiH0 [SPBFUT],10,20191018,193000,11423.000000
SiH0 [SPBFUT],10,20191018,194000,28131.000000
SiH0 [SPBFUT],10,20191018,195000,4927.000000
SiH0 [SPBFUT],10,20191018,200000,7729.000000
SiH0 [SPBFUT],10,20191018,201000,4246.000000
SiH0 [SPBFUT],10,20191018,202000,9774.000000
SiH0 [SPBFUT],10,20191018,203000,4647.000000
SiH0 [SPBFUT],10,20191018,204000,7555.000000
SiH0 [SPBFUT],10,20191018,205000,3428.000000
SiH0 [SPBFUT],10,20191018,210000,4677.000000
SiH0 [SPBFUT],10,20191018,211000,8396.000000
SiH0 [SPBFUT],10,20191018,212000,10561.000000
SiH0 [SPBFUT],10,20191018,213000,3738.000000
SiH0 [SPBFUT],10,20191018,214000,8866.000000
SiH0 [SPBFUT],10,20191018,215000,3876.000000
SiH0 [SPBFUT],10,20191018,220000,7089.000000
SiH0 [SPBFUT],10,20191018,221000,5639.000000
SiH0 [SPBFUT],10,20191018,222000,13134.000000
SiH0 [SPBFUT],10,20191018,223000,7212.000000
SiH0 [SPBFUT],10,20191018,224000,3707.000000
SiH0 [SPBFUT],10,20191018,225000,15440.000000
SiH0 [SPBFUT],10,20191018,230000,8203.000000
SiH0 [SPBFUT],10,20191018,231000,3199.000000
SiH0 [SPBFUT],10,20191018,232000,2639.000000
SiH0 [SPBFUT],10,20191018,233000,4074.000000
SiH0 [SPBFUT],10,20191018,234000,9542.000000
SiH0 [SPBFUT],10,20191021,100000,44010.000000
SiH0 [SPBFUT],10,20191021,101000,27005.000000
SiH0 [SPBFUT],10,20191021,102000,49756.000000
SiH0 [SPBFUT],10,20191021,103000,37760.000000
SiH0 [SPBFUT],10,20191021,104000,13736.000000
SiH0 [SPBFUT],10,20191021,105000,20495.000000
SiH0 [SPBFUT],10,20191021,110000,15804.000000
SiH0 [SPBFUT],10,20191021,111000,59831.000000
SiH0 [SPBFUT],10,20191021,112000,19577.000000
SiH0 [SPBFUT],10,20191021,113000,26267.000000
SiH0 [SPBFUT],10,20191021,114000,9884.000000
SiH0 [SPBFUT],10,20191021,115000,14349.000000
SiH0 [SPBFUT],10,20191021,120000,16758.000000
SiH0 [SPBFUT],10,20191021,121000,33870.000000
SiH0 [SPBFUT],10,20191021,122000,15800.000000
SiH0 [SPBFUT],10,20191021,123000,12216.000000
SiH0 [SPBFUT],10,20191021,124000,6233.000000
SiH0 [SPBFUT],10,20191021,125000,10197.000000
SiH0 [SPBFUT],10,20191021,130000,12840.000000
SiH0 [SPBFUT],10,20191021,131000,5792.000000
SiH0 [SPBFUT],10,20191021,132000,10323.000000
SiH0 [SPBFUT],10,20191021,133000,7217.000000
SiH0 [SPBFUT],10,20191021,134000,6656.000000
SiH0 [SPBFUT],10,20191021,135000,6114.000000
SiH0 [SPBFUT],10,20191021,140000,6103.000000
SiH0 [SPBFUT],10,20191021,141000,8117.000000
SiH0 [SPBFUT],10,20191021,142000,6236.000000
SiH0 [SPBFUT],10,20191021,143000,8639.000000
SiH0 [SPBFUT],10,20191021,144000,18305.000000
SiH0 [SPBFUT],10,20191021,145000,19795.000000
SiH0 [SPBFUT],10,20191021,150000,19051.000000
SiH0 [SPBFUT],10,20191021,151000,14940.000000
SiH0 [SPBFUT],10,20191021,152000,7165.000000
SiH0 [SPBFUT],10,20191021,153000,12896.000000
SiH0 [SPBFUT],10,20191021,154000,21127.000000
SiH0 [SPBFUT],10,20191021,155000,7601.000000
SiH0 [SPBFUT],10,20191021,160000,16637.000000
SiH0 [SPBFUT],10,20191021,161000,24823.000000
SiH0 [SPBFUT],10,20191021,162000,11916.000000
